43.175.131.30:443#HK [优选高速] [31ms 41Mbps]
149.104.1.235:443#HK [优选高速] [32ms 18Mbps]
15.232.155.235:443#ID [优选高速] [94ms 13Mbps]
69.8.128.163:443#JP [优选高速] [47ms 16Mbps]
14.137.230.82:8443#JP [优选高速] [62ms 20Mbps]
13.112.165.78:443#JP [优选高速] [62ms 16Mbps]
13.193.215.10:443#JP [优选高速] [62ms 15Mbps]
13.158.86.30:443#JP [优选高速] [62ms 12Mbps]
43.108.46.150:8443#KR [优选高速] [46ms 17Mbps]
110.10.178.240:443#KR [优选高速] [62ms 19Mbps]
168.107.56.181:443#KR [优选高速] [62ms 15Mbps]
168.110.121.126:8443#KR [优选高速] [62ms 13Mbps]
134.185.127.173:443#KR [优选高速] [63ms 15Mbps]
152.67.208.47:443#KR [优选高速] [63ms 14Mbps]
134.185.99.52:443#KR [优选高速] [63ms 14Mbps]
168.93.198.95:443#MY [优选高速] [78ms 13Mbps]
18.141.237.52:443#SG [优选高速] [62ms 18Mbps]
54.254.39.187:443#SG [优选高速] [62ms 17Mbps]
18.140.28.73:443#SG [优选高速] [62ms 16Mbps]
195.172.137.20:8443#SG [优选高速] [62ms 15Mbps]
18.138.252.84:443#SG [优选高速] [62ms 15Mbps]
18.139.143.168:443#SG [优选高速] [62ms 15Mbps]
103.158.228.141:443#TW [优选高速] [62ms 21Mbps]
